timestamp, focused_object
0,none
2.422222,none
2.433333,none
2.444444,none
2.455556,Projector Screen,Screen
2.466667,Projector Screen,Screen
2.477778,Projector Screen,Screen
2.488889,Projector Screen,Screen
2.5,Projector Screen,Screen
2.511111,Projector Screen,Screen
2.522222,Projector Screen,Screen
2.533333,Projector Screen,Screen
2.544445,Projector Screen,Screen
2.555556,Projector Screen,Screen
2.566667,Projector Screen,Screen
2.577778,Projector Screen,Screen
2.588889,Projector Screen,Screen
2.6,Projector Screen,Screen
2.611111,Projector Screen,Screen
2.622222,Projector Screen,Screen
2.633333,Projector Screen,Screen
2.644444,Projector Screen,Screen
2.655556,Projector Screen,Screen
2.666667,Projector Screen,Screen
2.677778,Projector Screen,Screen
2.688889,Projector Screen,Screen
2.7,Projector Screen,Screen
2.711111,Projector Screen,Screen
2.722222,Projector Screen,Screen
2.733333,Projector Screen,Screen
2.744445,Projector Screen,Screen
2.755556,Projector Screen,Screen
2.766667,Projector Screen,Screen
2.777778,Projector Screen,Screen
2.788889,Projector Screen,Screen
2.8,Projector Screen,Screen
2.811111,Projector Screen,Screen
2.822222,Projector Screen,Screen
2.833333,Projector Screen,Screen
2.844445,Projector Screen,Screen
2.855556,Projector Screen,Screen
2.866667,Projector Screen,Screen
2.877778,Projector Screen,Screen
2.888889,Projector Screen,Screen
2.9,Projector Screen,Screen
2.911111,Projector Screen,Screen
2.922222,Projector Screen,Screen
2.933333,Projector Screen,Screen
2.944444,Projector Screen,Screen
2.955556,Projector Screen,Screen
2.966667,Projector Screen,Screen
2.977778,Projector Screen,Screen
2.988889,Projector Screen,Screen
3,Projector Screen,Screen
3.011111,Projector Screen,Screen
3.022222,Projector Screen,Screen
3.033333,Projector Screen,Screen
3.044445,Projector Screen,Screen
3.055556,Projector Screen,Screen
3.066667,Projector Screen,Screen
3.077778,Projector Screen,Screen
3.088889,Projector Screen,Screen
3.1,Projector Screen,Screen
3.111111,Projector Screen,Screen
3.122222,Projector Screen,Screen
3.133333,Projector Screen,Screen
3.144444,Projector Screen,Screen
3.155556,Projector Screen,Screen
3.166667,Projector Screen,Screen
3.177778,Projector Screen,Screen
