timestamp, focused_object, type
0.02,none
0.03111111,Projector Screen,Screen
0.04222222,Projector Screen,Screen
0.05333333,Projector Screen,Screen
0.06444445,Projector Screen,Screen
0.07555556,Projector Screen,Screen
0.08666667,Projector Screen,Screen
0.09777778,Projector Screen,Screen
0.1088889,Projector Screen,Screen
0.12,Projector Screen,Screen
0.1311111,Projector Screen,Screen
0.1422222,Projector Screen,Screen
0.1533333,Projector Screen,Screen
0.1644444,Projector Screen,Screen
0.1755556,Projector Screen,Screen
0.1866667,Projector Screen,Screen
0.1977778,Projector Screen,Screen
0.2088889,Projector Screen,Screen
0.22,Projector Screen,Screen
0.2311111,Projector Screen,Screen
0.2422222,Projector Screen,Screen
0.2533333,Projector Screen,Screen
0.2644444,Projector Screen,Screen
0.2755556,Projector Screen,Screen
0.2866667,Projector Screen,Screen
0.2977778,Projector Screen,Screen
0.3088889,Projector Screen,Screen
0.32,Projector Screen,Screen
0.3311111,Projector Screen,Screen
0.3422222,Projector Screen,Screen
0.3533334,Projector Screen,Screen
0.3644445,Female Classmate 10,Classmate
0.3755556,Female Classmate 10,Classmate
0.3866667,Female Classmate 10,Classmate
0.3977778,Female Classmate 10,Classmate
0.4088889,Female Classmate 10,Classmate
0.42,Female Classmate 10,Classmate
0.4311111,Female Classmate 10,Classmate
0.4422222,Female Classmate 10,Classmate
0.4533333,Female Classmate 10,Classmate
0.4644445,Female Classmate 10,Classmate
0.4755556,Female Classmate 10,Classmate
0.4866667,Female Classmate 10,Classmate
0.4977778,Female Classmate 10,Classmate
0.5088889,Female Classmate 10,Classmate
0.52,Female Classmate 10,Classmate
0.5311111,Female Classmate 10,Classmate
0.5422223,Female Classmate 10,Classmate
0.5533333,Female Classmate 10,Classmate
0.5644445,Female Classmate 10,Classmate
0.5755556,Female Classmate 10,Classmate
0.5866667,Female Classmate 10,Classmate
0.5977778,Female Classmate 10,Classmate
0.6088889,Female Classmate 10,Classmate
0.62,Female Classmate 10,Classmate
0.6311111,Female Classmate 10,Classmate
0.6422222,Female Classmate 10,Classmate
0.6533334,Female Classmate 10,Classmate
0.6644444,Female Classmate 10,Classmate
0.6755556,Female Classmate 10,Classmate
0.6866667,Female Classmate 10,Classmate
0.6977778,Female Classmate 10,Classmate
0.7088889,Female Classmate 10,Classmate
0.72,Female Classmate 10,Classmate
0.7311111,Female Classmate 10,Classmate
0.7422222,Female Classmate 10,Classmate
0.7533333,Female Classmate 10,Classmate
0.7644445,Female Classmate 10,Classmate
0.7755556,Female Classmate 10,Classmate
0.7866667,Female Classmate 10,Classmate
0.7977778,Female Classmate 10,Classmate
0.8088889,Female Classmate 10,Classmate
0.82,Female Classmate 10,Classmate
0.8311111,Female Classmate 10,Classmate
0.8422222,Female Classmate 10,Classmate
0.8533334,Female Classmate 10,Classmate
0.8644445,Female Classmate 10,Classmate
0.8755556,Female Classmate 10,Classmate
0.8866667,Female Classmate 10,Classmate
0.8977778,Female Classmate 10,Classmate
0.9088889,Female Classmate 10,Classmate
0.92,Female Classmate 10,Classmate
0.9311112,Female Classmate 10,Classmate
0.9422222,Female Classmate 10,Classmate
0.9533334,Female Classmate 10,Classmate
0.9644445,Female Classmate 10,Classmate
0.9755556,Female Classmate 10,Classmate
0.9866667,Female Classmate 10,Classmate
0.9977778,Female Classmate 10,Classmate
1.008889,Female Classmate 10,Classmate
1.02,Female Classmate 10,Classmate
1.031111,Female Classmate 10,Classmate
1.042222,none
1.053333,none
1.064444,none
1.075556,none
1.086667,none
1.097778,none
1.108889,none
1.12,none
1.131111,none
1.142222,none
1.153333,none
1.164444,none
1.175556,none
1.186667,none
1.197778,none
1.208889,none
1.22,none
1.231111,none
1.242222,none
1.253333,none
1.264444,none
1.275556,none
1.286667,none
1.297778,none
1.308889,none
1.32,none
1.331111,none
1.342222,none
1.353333,none
1.364444,none
1.375556,none
1.386667,none
1.397778,none
1.408889,none
1.42,Projector Screen,Screen
1.431111,Projector Screen,Screen
1.442222,Projector Screen,Screen
1.453333,Projector Screen,Screen
1.464445,Projector Screen,Screen
1.475556,Projector Screen,Screen
1.486667,Projector Screen,Screen
1.497778,Projector Screen,Screen
1.508889,Projector Screen,Screen
1.52,Projector Screen,Screen
1.531111,Projector Screen,Screen
1.542222,Projector Screen,Screen
1.553333,Projector Screen,Screen
1.564444,Projector Screen,Screen
1.575556,Projector Screen,Screen
1.586667,Projector Screen,Screen
1.597778,Projector Screen,Screen
1.608889,Projector Screen,Screen
1.62,Projector Screen,Screen
1.631111,Projector Screen,Screen
1.642222,Projector Screen,Screen
1.653333,Projector Screen,Screen
1.664444,Projector Screen,Screen
1.675556,Projector Screen,Screen
1.686667,Projector Screen,Screen
1.697778,Projector Screen,Screen
1.708889,Projector Screen,Screen
1.72,Projector Screen,Screen
1.731111,Projector Screen,Screen
1.742222,Projector Screen,Screen
1.753333,Projector Screen,Screen
1.764444,Projector Screen,Screen
1.775556,Projector Screen,Screen
1.786667,Projector Screen,Screen
1.797778,Projector Screen,Screen
1.808889,Projector Screen,Screen
1.82,Projector Screen,Screen
1.831111,Projector Screen,Screen
1.842222,Projector Screen,Screen
1.853333,Projector Screen,Screen
1.864444,Projector Screen,Screen
1.875556,Projector Screen,Screen
1.886667,Projector Screen,Screen
1.897778,Projector Screen,Screen
1.908889,Projector Screen,Screen
1.92,Projector Screen,Screen
1.931111,Projector Screen,Screen
1.942222,Projector Screen,Screen
1.953333,Projector Screen,Screen
1.964445,Projector Screen,Screen
1.975556,Projector Screen,Screen
1.986667,Projector Screen,Screen
1.997778,Projector Screen,Screen
2.008889,Projector Screen,Screen
2.02,Projector Screen,Screen
2.031111,Projector Screen,Screen
2.042222,Projector Screen,Screen
2.053333,Projector Screen,Screen
2.064445,Projector Screen,Screen
2.075556,Projector Screen,Screen
2.086667,Projector Screen,Screen
2.097778,Projector Screen,Screen
2.108889,Projector Screen,Screen
2.12,Projector Screen,Screen
2.131111,Projector Screen,Screen
2.142222,Projector Screen,Screen
2.153333,Projector Screen,Screen
2.164444,Projector Screen,Screen
2.175556,Projector Screen,Screen
2.186667,Projector Screen,Screen
2.197778,Projector Screen,Screen
2.208889,Projector Screen,Screen
2.22,Projector Screen,Screen
2.231111,Projector Screen,Screen
2.242222,Projector Screen,Screen
2.253333,Projector Screen,Screen
2.264445,Projector Screen,Screen
2.275556,Projector Screen,Screen
2.286667,Projector Screen,Screen
2.297778,Projector Screen,Screen
2.308889,Projector Screen,Screen
2.32,Projector Screen,Screen
2.331111,Projector Screen,Screen
2.342222,Projector Screen,Screen
2.353333,Projector Screen,Screen
2.364444,Projector Screen,Screen
2.375556,Projector Screen,Screen
2.386667,Projector Screen,Screen
2.397778,Projector Screen,Screen
2.408889,Projector Screen,Screen
2.42,Projector Screen,Screen
2.431111,Projector Screen,Screen
2.442222,Projector Screen,Screen
2.453333,Projector Screen,Screen
2.464444,Projector Screen,Screen
2.475556,Projector Screen,Screen
2.486667,Projector Screen,Screen
2.497778,Projector Screen,Screen
2.508889,Projector Screen,Screen
2.52,Projector Screen,Screen
2.531111,Projector Screen,Screen
2.542222,Projector Screen,Screen
2.553333,Projector Screen,Screen
2.564445,Projector Screen,Screen
2.575556,Projector Screen,Screen
2.586667,Projector Screen,Screen
2.597778,Projector Screen,Screen
2.608889,Projector Screen,Screen
2.62,Projector Screen,Screen
2.631111,Projector Screen,Screen
2.642222,Projector Screen,Screen
2.653333,Projector Screen,Screen
2.664444,Projector Screen,Screen
2.675556,Projector Screen,Screen
2.686667,Projector Screen,Screen
2.697778,Projector Screen,Screen
2.708889,Projector Screen,Screen
2.72,Projector Screen,Screen
2.731111,Projector Screen,Screen
2.742222,Projector Screen,Screen
2.753333,Projector Screen,Screen
2.764445,Projector Screen,Screen
2.775556,Projector Screen,Screen
2.786667,Projector Screen,Screen
2.797778,Projector Screen,Screen
2.808889,Projector Screen,Screen
2.82,Projector Screen,Screen
2.831111,Projector Screen,Screen
2.842222,Projector Screen,Screen
2.853333,Projector Screen,Screen
2.864444,Projector Screen,Screen
2.875556,Projector Screen,Screen
2.886667,Projector Screen,Screen
2.897778,Projector Screen,Screen
2.908889,Projector Screen,Screen
2.92,Projector Screen,Screen
2.931111,Projector Screen,Screen
2.942222,Projector Screen,Screen
2.953333,Projector Screen,Screen
2.964444,Projector Screen,Screen
2.975556,Projector Screen,Screen
2.986667,Projector Screen,Screen
2.997778,Projector Screen,Screen
3.008889,Projector Screen,Screen
3.02,Projector Screen,Screen
3.031111,Projector Screen,Screen
3.042222,Projector Screen,Screen
3.053334,Projector Screen,Screen
3.064445,Projector Screen,Screen
3.075556,Projector Screen,Screen
3.086667,Projector Screen,Screen
3.097778,Projector Screen,Screen
3.108889,Projector Screen,Screen
3.12,Projector Screen,Screen
3.131111,Projector Screen,Screen
3.142222,Projector Screen,Screen
3.153333,Projector Screen,Screen
3.164444,Projector Screen,Screen
