timestamp, focused_object, type
2.313333,Male Classmate 2,Classmate
2.324445,Male Classmate 2,Classmate
2.335556,Male Classmate 2,Classmate
2.346667,Male Classmate 2,Classmate
2.357778,none
2.368889,none
2.38,none
2.391111,none
2.402222,none
2.413333,none
2.424444,none
2.435556,none
2.446667,none
2.457778,none
2.468889,none
2.48,none
2.491111,none
2.502222,none
2.513333,none
2.524445,none
2.535556,none
2.546667,none
2.557778,Projector Screen,Screen
2.568889,Projector Screen,Screen
2.58,Projector Screen,Screen
2.591111,Projector Screen,Screen
2.602222,Projector Screen,Screen
2.613333,Projector Screen,Screen
2.624444,Projector Screen,Screen
2.635556,Projector Screen,Screen
2.646667,Projector Screen,Screen
2.657778,Projector Screen,Screen
2.668889,Projector Screen,Screen
2.68,Projector Screen,Screen
2.691111,Projector Screen,Screen
2.702222,Projector Screen,Screen
2.713333,Projector Screen,Screen
2.724444,Projector Screen,Screen
2.735556,Projector Screen,Screen
2.746667,Projector Screen,Screen
2.757778,Projector Screen,Screen
2.768889,Projector Screen,Screen
2.78,Projector Screen,Screen
2.791111,Projector Screen,Screen
2.802222,Projector Screen,Screen
2.813334,Projector Screen,Screen
2.824445,Projector Screen,Screen
2.835556,Projector Screen,Screen
2.846667,Projector Screen,Screen
2.857778,Projector Screen,Screen
2.868889,Projector Screen,Screen
2.88,Projector Screen,Screen
2.891111,Projector Screen,Screen
2.902222,Projector Screen,Screen
2.913333,Projector Screen,Screen
2.924444,Projector Screen,Screen
2.935556,Projector Screen,Screen
2.946667,Projector Screen,Screen
2.957778,none
2.968889,none
2.98,none
2.991111,none
3.002222,none
3.013333,none
3.024445,none
3.035556,none
3.046667,none
3.057778,none
3.068889,none
3.08,none
3.091111,none
3.102222,none
3.113333,none
3.124444,none
3.135556,none
3.146667,none
3.157778,none
3.168889,none
3.18,none
3.191111,none
3.202222,none
3.213333,none
3.224445,none
3.235556,none
3.246667,none
3.257778,none
3.268889,none
3.28,none
3.291111,none
3.302222,none
3.313334,none
3.324445,Male Classmate 1,Classmate
3.335556,Male Classmate 1,Classmate
3.346667,Male Classmate 1,Classmate
3.357778,Projector Screen,Screen
3.368889,Projector Screen,Screen
3.38,Projector Screen,Screen
3.391111,Projector Screen,Screen
3.402222,Projector Screen,Screen
3.413333,Projector Screen,Screen
3.424444,Projector Screen,Screen
3.435556,Projector Screen,Screen
3.446667,Projector Screen,Screen
3.457778,Projector Screen,Screen
3.468889,Projector Screen,Screen
3.48,Projector Screen,Screen
3.491111,Projector Screen,Screen
3.502222,Projector Screen,Screen
3.513333,Projector Screen,Screen
3.524445,Projector Screen,Screen
3.535556,Projector Screen,Screen
3.546667,Projector Screen,Screen
3.557778,Male Classmate 2,Classmate
3.568889,Male Classmate 2,Classmate
3.58,Male Classmate 2,Classmate
3.591111,Projector Screen,Screen
3.602222,Projector Screen,Screen
3.613333,Projector Screen,Screen
3.624444,Projector Screen,Screen
3.635556,Projector Screen,Screen
3.646667,Projector Screen,Screen
3.657778,Projector Screen,Screen
3.668889,Projector Screen,Screen
3.68,Projector Screen,Screen
3.691111,Projector Screen,Screen
3.702222,Projector Screen,Screen
3.713333,Projector Screen,Screen
3.724445,Projector Screen,Screen
3.735556,Projector Screen,Screen
3.746667,Projector Screen,Screen
3.757778,Projector Screen,Screen
3.768889,Projector Screen,Screen
3.78,Projector Screen,Screen
3.791111,Projector Screen,Screen
3.802222,Projector Screen,Screen
3.813334,Projector Screen,Screen
3.824445,Projector Screen,Screen
3.835556,Projector Screen,Screen
3.846667,Projector Screen,Screen
3.857778,Projector Screen,Screen
3.868889,Projector Screen,Screen
3.88,Projector Screen,Screen
3.891111,Projector Screen,Screen
3.902222,Projector Screen,Screen
3.913333,Projector Screen,Screen
3.924444,Projector Screen,Screen
3.935556,Projector Screen,Screen
3.946667,Projector Screen,Screen
3.957778,Projector Screen,Screen
3.968889,Projector Screen,Screen
3.98,Projector Screen,Screen
3.991111,Projector Screen,Screen
4.002223,Projector Screen,Screen
4.013333,Projector Screen,Screen
4.024445,Projector Screen,Screen
4.035556,Projector Screen,Screen
4.046667,Projector Screen,Screen
4.057778,Projector Screen,Screen
4.068889,Projector Screen,Screen
4.08,Projector Screen,Screen
4.091111,Projector Screen,Screen
4.102222,Projector Screen,Screen
4.113333,Projector Screen,Screen
4.124444,Projector Screen,Screen
4.135556,Projector Screen,Screen
4.146667,Projector Screen,Screen
4.157778,Projector Screen,Screen
4.168889,Projector Screen,Screen
4.18,Projector Screen,Screen
4.191111,Projector Screen,Screen
4.202222,Projector Screen,Screen
4.213334,Projector Screen,Screen
4.224444,Projector Screen,Screen
4.235556,Projector Screen,Screen
4.246667,Projector Screen,Screen
4.257778,Projector Screen,Screen
4.268889,Projector Screen,Screen
4.28,Projector Screen,Screen
4.291111,Projector Screen,Screen
4.302222,Projector Screen,Screen
4.313334,Projector Screen,Screen
4.324445,Projector Screen,Screen
4.335556,Projector Screen,Screen
4.346667,Projector Screen,Screen
4.357778,Projector Screen,Screen
4.368889,Projector Screen,Screen
4.38,Projector Screen,Screen
4.391111,Female Classmate 2,Classmate
4.402222,Female Classmate 2,Classmate
4.413333,Female Classmate 2,Classmate
4.424445,Projector Screen,Screen
4.435555,Projector Screen,Screen
4.446667,Projector Screen,Screen
4.457778,Projector Screen,Screen
4.468889,Projector Screen,Screen
4.48,Projector Screen,Screen
4.491111,Projector Screen,Screen
4.502223,Projector Screen,Screen
4.513333,Projector Screen,Screen
4.524445,Projector Screen,Screen
4.535556,Projector Screen,Screen
4.546667,Projector Screen,Screen
4.557778,Projector Screen,Screen
4.568889,Projector Screen,Screen
4.58,Projector Screen,Screen
4.591111,Projector Screen,Screen
4.602222,Projector Screen,Screen
4.613333,Projector Screen,Screen
4.624444,Projector Screen,Screen
4.635556,Projector Screen,Screen
4.646667,Projector Screen,Screen
4.657778,Projector Screen,Screen
4.668889,Projector Screen,Screen
4.68,Projector Screen,Screen
4.691111,Projector Screen,Screen
4.702222,Projector Screen,Screen
4.713334,Projector Screen,Screen
4.724444,Projector Screen,Screen
4.735556,Projector Screen,Screen
4.746667,Projector Screen,Screen
4.757778,Projector Screen,Screen
4.768889,Projector Screen,Screen
4.78,Projector Screen,Screen
4.791111,Projector Screen,Screen
4.802222,Projector Screen,Screen
4.813334,Projector Screen,Screen
4.824445,Projector Screen,Screen
4.835556,Projector Screen,Screen
4.846667,Projector Screen,Screen
4.857778,Projector Screen,Screen
4.868889,Projector Screen,Screen
4.88,Projector Screen,Screen
4.891111,Projector Screen,Screen
4.902222,Projector Screen,Screen
4.913333,Projector Screen,Screen
4.924445,Projector Screen,Screen
4.935555,Projector Screen,Screen
4.946667,Projector Screen,Screen
4.957778,Female Classmate 2,Classmate
4.968889,Female Classmate 2,Classmate
4.98,Female Classmate 2,Classmate
4.991111,Glass,Object
5.002223,Glass,Object
5.013333,Glass,Object
5.024445,Glass,Object
5.035556,Glass,Object
5.046667,Glass,Object
5.057778,Glass,Object
5.068889,Glass,Object
5.08,Glass,Object
5.091111,Glass,Object
5.102222,Glass,Object
5.113333,Glass,Object
5.124444,Glass,Object
5.135556,Glass,Object
5.146667,Glass,Object
5.157778,Glass,Object
5.168889,Glass,Object
5.18,Glass,Object
5.191111,Glass,Object
5.202222,Glass,Object
5.213334,Glass,Object
5.224444,Glass,Object
5.235556,Glass,Object
5.246667,Glass,Object
5.257778,Glass,Object
5.268889,Glass,Object
5.28,Glass,Object
5.291111,Glass,Object
5.302222,Glass,Object
5.313334,Glass,Object
5.324445,Glass,Object
5.335556,Glass,Object
5.346667,Glass,Object
5.357778,Male Classmate 6,Classmate
5.368889,Male Classmate 6,Classmate
5.38,Male Classmate 6,Classmate
5.391111,Male Classmate 6,Classmate
5.402222,Male Classmate 6,Classmate
5.413333,Male Classmate 6,Classmate
5.424445,Male Classmate 6,Classmate
5.435555,Male Classmate 6,Classmate
5.446667,Male Classmate 6,Classmate
5.457778,Male Classmate 6,Classmate
5.468889,Male Classmate 6,Classmate
5.48,Male Classmate 6,Classmate
5.491111,Male Classmate 6,Classmate
5.502223,Male Classmate 6,Classmate
5.513333,Male Classmate 6,Classmate
5.524445,Male Classmate 6,Classmate
5.535556,Male Classmate 6,Classmate
5.546667,Male Classmate 6,Classmate
5.557778,none
5.568889,none
5.58,none
5.591111,none
5.602222,none
5.613334,none
5.624444,none
5.635556,none
5.646667,none
5.657778,none
5.668889,none
5.68,none
5.691111,none
5.702222,none
5.713334,none
5.724444,none
5.735556,none
5.746667,none
5.757778,Male Classmate 7,Classmate
5.768889,Male Classmate 7,Classmate
5.78,Male Classmate 7,Classmate
5.791111,none
5.802222,none
5.813334,none
5.824445,none
5.835556,none
5.846667,none
5.857778,Male Classmate 7,Classmate
5.868889,Male Classmate 7,Classmate
5.88,Male Classmate 7,Classmate
5.891111,none
5.902222,none
5.913333,none
5.924445,Male Classmate 7,Classmate
5.935555,Male Classmate 7,Classmate
5.946667,Male Classmate 7,Classmate
5.957778,none
5.968889,none
5.98,none
5.991111,none
6.002223,none
6.013333,none
6.024445,none
6.035556,none
6.046667,none
6.057778,none
6.068889,none
6.08,none
6.091111,Male Classmate 7,Classmate
6.102222,Male Classmate 7,Classmate
6.113334,Male Classmate 7,Classmate
6.124444,Male Classmate 7,Classmate
6.135556,Male Classmate 7,Classmate
6.146667,Male Classmate 7,Classmate
6.157778,Male Classmate 7,Classmate
6.168889,Male Classmate 7,Classmate
6.18,Male Classmate 7,Classmate
6.191111,none
6.202222,none
6.213334,none
6.224444,none
6.235556,none
6.246667,none
6.257778,none
6.268889,none
6.28,none
6.291111,none
6.302222,none
6.313334,none
6.324445,none
6.335556,none
6.346667,none
6.357778,none
6.368889,none
6.38,none
6.391111,Female Classmate 10,Classmate
6.402222,Female Classmate 10,Classmate
6.413333,Female Classmate 10,Classmate
6.424445,Female Classmate 10,Classmate
6.435556,Female Classmate 10,Classmate
6.446667,Female Classmate 10,Classmate
6.457778,Female Classmate 10,Classmate
6.468889,Female Classmate 10,Classmate
6.48,Female Classmate 10,Classmate
6.491111,Female Classmate 10,Classmate
6.502223,Female Classmate 10,Classmate
6.513333,Female Classmate 10,Classmate
6.524445,Female Classmate 10,Classmate
6.535556,Female Classmate 10,Classmate
6.546667,Female Classmate 10,Classmate
6.557778,Female Classmate 10,Classmate
6.568889,Female Classmate 10,Classmate
6.58,Female Classmate 10,Classmate
6.591111,none
6.602222,none
6.613334,none
6.624444,Male Classmate 3,Classmate
6.635556,Male Classmate 3,Classmate
6.646667,Male Classmate 3,Classmate
6.657778,Male Classmate 3,Classmate
6.668889,Male Classmate 3,Classmate
6.68,Male Classmate 3,Classmate
6.691111,Male Classmate 3,Classmate
6.702222,Male Classmate 3,Classmate
6.713334,Male Classmate 3,Classmate
6.724444,Male Classmate 3,Classmate
6.735556,Male Classmate 3,Classmate
6.746667,Male Classmate 3,Classmate
6.757778,Male Classmate 3,Classmate
6.768889,Male Classmate 3,Classmate
6.78,Male Classmate 3,Classmate
6.791111,Male Classmate 3,Classmate
6.802222,Male Classmate 3,Classmate
6.813334,Male Classmate 3,Classmate
6.824445,Male Classmate 3,Classmate
6.835556,Male Classmate 3,Classmate
6.846667,Male Classmate 3,Classmate
6.857778,Male Classmate 3,Classmate
6.868889,Male Classmate 3,Classmate
6.88,Male Classmate 3,Classmate
6.891111,Male Classmate 3,Classmate
6.902222,Male Classmate 3,Classmate
6.913333,Male Classmate 3,Classmate
6.924445,Male Classmate 3,Classmate
6.935556,Male Classmate 3,Classmate
6.946667,Male Classmate 3,Classmate
6.957778,Male Classmate 3,Classmate
6.968889,Male Classmate 3,Classmate
6.98,Male Classmate 3,Classmate
6.991111,Male Classmate 3,Classmate
7.002223,Male Classmate 3,Classmate
7.013333,Male Classmate 3,Classmate
7.024445,Male Classmate 3,Classmate
7.035556,Male Classmate 3,Classmate
7.046667,Male Classmate 3,Classmate
7.057778,Male Classmate 3,Classmate
7.068889,Male Classmate 3,Classmate
7.08,Male Classmate 3,Classmate
7.091111,Male Classmate 3,Classmate
7.102222,Male Classmate 3,Classmate
7.113334,Male Classmate 3,Classmate
7.124444,Male Classmate 3,Classmate
7.135556,Male Classmate 3,Classmate
7.146667,Male Classmate 3,Classmate
7.157778,Male Classmate 3,Classmate
7.168889,Male Classmate 3,Classmate
7.18,Male Classmate 3,Classmate
7.191111,Male Classmate 3,Classmate
7.202222,Male Classmate 3,Classmate
7.213334,Male Classmate 3,Classmate
7.224444,Male Classmate 3,Classmate
7.235556,Male Classmate 3,Classmate
7.246667,Male Classmate 3,Classmate
7.257778,Male Classmate 3,Classmate
7.268889,Male Classmate 3,Classmate
7.28,Male Classmate 3,Classmate
7.291111,Male Classmate 3,Classmate
7.302222,Male Classmate 3,Classmate
7.313334,Male Classmate 3,Classmate
7.324445,Male Classmate 3,Classmate
7.335556,Male Classmate 3,Classmate
7.346667,Male Classmate 3,Classmate
7.357778,Male Classmate 3,Classmate
7.368889,Male Classmate 3,Classmate
7.38,Male Classmate 3,Classmate
7.391111,Male Classmate 3,Classmate
7.402223,Male Classmate 3,Classmate
7.413333,Male Classmate 3,Classmate
7.424445,Male Classmate 3,Classmate
7.435556,Male Classmate 3,Classmate
7.446667,Male Classmate 3,Classmate
7.457778,Male Classmate 3,Classmate
7.468889,Male Classmate 3,Classmate
7.48,Male Classmate 3,Classmate
7.491111,Male Classmate 3,Classmate
7.502223,Male Classmate 3,Classmate
7.513333,Male Classmate 3,Classmate
7.524445,Male Classmate 3,Classmate
7.535556,Male Classmate 3,Classmate
7.546667,Male Classmate 3,Classmate
7.557778,Male Classmate 3,Classmate
7.568889,Male Classmate 3,Classmate
7.58,Male Classmate 3,Classmate
7.591111,Male Classmate 3,Classmate
7.602222,Male Classmate 3,Classmate
7.613334,Male Classmate 3,Classmate
7.624444,Male Classmate 3,Classmate
7.635556,Male Classmate 3,Classmate
7.646667,Male Classmate 3,Classmate
7.657778,Male Classmate 3,Classmate
7.668889,Male Classmate 3,Classmate
7.68,Male Classmate 3,Classmate
7.691111,Male Classmate 3,Classmate
7.702222,Male Classmate 3,Classmate
7.713334,Male Classmate 3,Classmate
7.724444,Male Classmate 3,Classmate
7.735556,Male Classmate 3,Classmate
7.746667,Male Classmate 3,Classmate
7.757778,Male Classmate 3,Classmate
7.768889,Male Classmate 3,Classmate
7.78,Male Classmate 3,Classmate
7.791111,none
7.802222,none
7.813334,none
7.824445,Female Classmate 10,Classmate
7.835556,Female Classmate 10,Classmate
7.846667,Female Classmate 10,Classmate
7.857778,Female Classmate 10,Classmate
7.868889,Female Classmate 10,Classmate
7.88,Female Classmate 10,Classmate
7.891111,none
7.902223,none
7.913333,none
7.924445,none
7.935556,none
7.946667,none
7.957778,Female Classmate 10,Classmate
7.968889,Female Classmate 10,Classmate
7.98,Female Classmate 10,Classmate
7.991111,none
8.002222,none
8.013333,none
8.024445,none
8.035556,none
8.046667,none
8.057778,none
8.068889,none
8.08,none
8.091111,Female Classmate 10,Classmate
8.102222,Female Classmate 10,Classmate
8.113334,Female Classmate 10,Classmate
8.124445,none
8.135556,none
8.146667,none
8.157778,none
8.168889,none
8.18,none
8.191112,none
8.202223,none
8.213333,none
8.224444,none
8.235556,none
8.246667,none
8.257778,none
8.268889,none
8.28,none
8.291111,none
8.302222,none
8.313334,none
8.324445,Female Classmate 10,Classmate
8.335556,Female Classmate 10,Classmate
8.346667,Female Classmate 10,Classmate
8.357778,none
8.368889,none
8.38,none
8.391111,Female Classmate 10,Classmate
8.402223,Female Classmate 10,Classmate
8.413334,Female Classmate 10,Classmate
8.424444,none
8.435555,none
8.446667,none
8.457778,none
8.468889,none
8.48,none
8.491112,none
8.502222,none
8.513333,none
8.524445,none
8.535556,none
8.546667,none
8.557778,Female Classmate 10,Classmate
8.568889,Female Classmate 10,Classmate
8.58,Female Classmate 10,Classmate
8.591111,Female Classmate 10,Classmate
8.602222,Female Classmate 10,Classmate
8.613334,Female Classmate 10,Classmate
8.624445,Female Classmate 10,Classmate
8.635556,Female Classmate 10,Classmate
8.646667,Female Classmate 10,Classmate
8.657778,Female Classmate 10,Classmate
8.668889,Female Classmate 10,Classmate
8.68,Female Classmate 10,Classmate
8.691112,Female Classmate 10,Classmate
8.702223,Female Classmate 10,Classmate
8.713333,Female Classmate 10,Classmate
8.724444,Female Classmate 10,Classmate
8.735556,Female Classmate 10,Classmate
8.746667,Female Classmate 10,Classmate
8.757778,Female Classmate 10,Classmate
8.768889,Female Classmate 10,Classmate
8.78,Female Classmate 10,Classmate
8.791111,Female Classmate 10,Classmate
8.802222,Female Classmate 10,Classmate
8.813334,Female Classmate 10,Classmate
8.824445,Female Classmate 10,Classmate
8.835556,Female Classmate 10,Classmate
8.846667,Female Classmate 10,Classmate
8.857778,Female Classmate 10,Classmate
8.868889,Female Classmate 10,Classmate
8.88,Female Classmate 10,Classmate
8.891111,Female Classmate 10,Classmate
8.902223,Female Classmate 10,Classmate
8.913334,Female Classmate 10,Classmate
8.924444,Female Classmate 10,Classmate
8.935555,Female Classmate 10,Classmate
8.946667,Female Classmate 10,Classmate
8.957778,Female Classmate 10,Classmate
8.968889,Female Classmate 10,Classmate
8.98,Female Classmate 10,Classmate
8.991112,Female Classmate 10,Classmate
9.002222,Female Classmate 10,Classmate
9.013333,Female Classmate 10,Classmate
9.024445,Female Classmate 10,Classmate
9.035556,Female Classmate 10,Classmate
9.046667,Female Classmate 10,Classmate
9.057778,Female Classmate 10,Classmate
9.068889,Female Classmate 10,Classmate
9.08,Female Classmate 10,Classmate
9.091111,Female Classmate 10,Classmate
9.102222,Female Classmate 10,Classmate
9.113334,Female Classmate 10,Classmate
9.124445,Female Classmate 10,Classmate
9.135556,Female Classmate 10,Classmate
9.146667,Female Classmate 10,Classmate
9.157778,Female Classmate 10,Classmate
9.168889,Female Classmate 10,Classmate
9.18,Female Classmate 10,Classmate
9.191112,Female Classmate 10,Classmate
9.202223,Female Classmate 10,Classmate
9.213333,Female Classmate 10,Classmate
9.224444,Female Classmate 10,Classmate
9.235556,Female Classmate 10,Classmate
9.246667,Female Classmate 10,Classmate
9.257778,Female Classmate 10,Classmate
9.268889,Female Classmate 10,Classmate
9.280001,Female Classmate 10,Classmate
9.291111,Female Classmate 10,Classmate
9.302222,Female Classmate 10,Classmate
9.313334,Female Classmate 10,Classmate
9.324445,Female Classmate 10,Classmate
9.335556,Female Classmate 10,Classmate
9.346667,Female Classmate 10,Classmate
9.357778,Female Classmate 10,Classmate
9.368889,Female Classmate 10,Classmate
9.38,Female Classmate 10,Classmate
9.391111,Female Classmate 10,Classmate
9.402223,Female Classmate 10,Classmate
9.413334,Female Classmate 10,Classmate
9.424444,Female Classmate 10,Classmate
9.435555,Female Classmate 10,Classmate
9.446667,Female Classmate 10,Classmate
9.457778,Female Classmate 10,Classmate
9.468889,Female Classmate 10,Classmate
9.48,Female Classmate 10,Classmate
9.491112,Female Classmate 10,Classmate
9.502222,Female Classmate 10,Classmate
9.513333,Female Classmate 10,Classmate
9.524445,Female Classmate 10,Classmate
9.535556,Female Classmate 10,Classmate
9.546667,Female Classmate 10,Classmate
9.557778,Female Classmate 10,Classmate
9.568889,Female Classmate 10,Classmate
9.58,Female Classmate 10,Classmate
9.591111,Female Classmate 10,Classmate
9.602222,Female Classmate 10,Classmate
9.613334,Female Classmate 10,Classmate
9.624445,Female Classmate 10,Classmate
9.635556,Female Classmate 10,Classmate
9.646667,Female Classmate 10,Classmate
9.657778,Female Classmate 10,Classmate
9.668889,Female Classmate 10,Classmate
9.68,Female Classmate 10,Classmate
9.691112,Female Classmate 10,Classmate
9.702223,Female Classmate 10,Classmate
9.713333,Female Classmate 10,Classmate
9.724444,Female Classmate 10,Classmate
9.735556,Female Classmate 10,Classmate
9.746667,Female Classmate 10,Classmate
9.757778,Female Classmate 10,Classmate
9.768889,Female Classmate 10,Classmate
9.780001,Female Classmate 10,Classmate
9.791111,Female Classmate 10,Classmate
9.802222,Female Classmate 10,Classmate
9.813334,Female Classmate 10,Classmate
9.824445,Female Classmate 10,Classmate
9.835556,Female Classmate 10,Classmate
9.846667,Female Classmate 10,Classmate
9.857778,Female Classmate 10,Classmate
9.868889,Female Classmate 10,Classmate
9.88,Female Classmate 10,Classmate
9.891111,Female Classmate 10,Classmate
9.902223,Female Classmate 10,Classmate
9.913334,Female Classmate 10,Classmate
9.924445,Female Classmate 10,Classmate
9.935555,Female Classmate 10,Classmate
9.946667,Female Classmate 10,Classmate
9.957778,Female Classmate 10,Classmate
